epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,5320.99,0.70045,1.28255,0.86708,1.03948,0.67143,0.6064,0.67153,0.45089,0.68605,0.61354,0.6814,0.40884,1.06317,2.65534,1.39969,1.3134,0.00017824,0.00017824,0.00017824
58,5414.58,0.65701,1.26077,0.82774,1.01378,0.72036,0.67241,0.75405,0.49136,0.67519,0.62228,0.68847,0.45212,1.06238,2.58666,1.31725,1.29327,0.00017428,0.00017428,0.00017428
59,5508.34,0.68456,1.31586,0.85775,1.01425,0.60117,0.6522,0.72716,0.45709,0.55956,0.60677,0.67861,0.40782,1.07715,2.47649,1.30906,1.3092,0.00017032,0.00017032,0.00017032
60,5601.75,0.66875,1.27016,0.82639,1.01357,0.56345,0.56277,0.63285,0.40863,0.59604,0.59859,0.67968,0.39321,1.10657,2.07885,1.41588,1.3336,0.00016636,0.00016636,0.00016636
61,5694.6,0.65339,1.26801,0.80307,1.00658,0.5971,0.65356,0.71582,0.47469,0.5943,0.65093,0.69952,0.47771,1.08944,2.15732,1.48408,1.32812,0.0001624,0.0001624,0.0001624
62,5787.35,0.6415,1.21338,0.81818,1.01094,0.65184,0.65287,0.70311,0.43587,0.64882,0.65016,0.69838,0.43058,1.11308,2.05583,1.38998,1.34867,0.00015844,0.00015844,0.00015844
63,5879.5,0.67998,1.31391,0.84801,1.02978,0.55556,0.66963,0.65058,0.43503,0.54943,0.67308,0.67338,0.39514,1.07236,2.10845,1.27871,1.32497,0.00015448,0.00015448,0.00015448
64,5974.29,0.66328,1.27528,0.81829,1.00877,0.63405,0.63239,0.67319,0.44571,0.60358,0.61204,0.64401,0.38905,1.07335,2.23922,1.32694,1.31065,0.00015052,0.00015052,0.00015052
65,6066.55,0.6627,1.23181,0.82188,1.02297,0.69498,0.58625,0.69121,0.45434,0.64509,0.57926,0.66904,0.41538,1.04176,2.17771,1.3554,1.29921,0.00014656,0.00014656,0.00014656
66,6158.73,0.67319,1.29352,0.82359,1.0134,0.81198,0.64128,0.72833,0.48699,0.77677,0.60695,0.70225,0.44945,1.04073,2.35339,1.33958,1.31444,0.0001426,0.0001426,0.0001426
67,6250.83,0.68649,1.28326,0.81918,1.0222,0.81902,0.60641,0.67506,0.44704,0.81401,0.6015,0.70693,0.42794,1.07094,2.30375,1.36406,1.33912,0.00013864,0.00013864,0.00013864
68,6342.93,0.64925,1.22257,0.79901,1.00837,0.74871,0.64514,0.72218,0.45219,0.70537,0.6015,0.69124,0.42182,1.05994,2.43462,1.39526,1.33264,0.00013468,0.00013468,0.00013468
69,6435.15,0.66101,1.28761,0.80761,1.0107,0.64165,0.63976,0.67892,0.44728,0.6235,0.62597,0.6749,0.40832,1.05927,2.46488,1.43211,1.32231,0.00013072,0.00013072,0.00013072
70,6528.38,0.63673,1.20409,0.7954,0.99233,0.76483,0.60343,0.72628,0.46007,0.74611,0.58757,0.69481,0.41165,1.05674,2.54692,1.35873,1.32367,0.00012676,0.00012676,0.00012676
71,6621.37,0.66101,1.25022,0.79254,1.01854,0.77176,0.60578,0.73122,0.46148,0.7713,0.61214,0.72073,0.44041,1.04556,2.31213,1.30748,1.31531,0.0001228,0.0001228,0.0001228
72,6714.64,0.65643,1.27249,0.8137,1.01551,0.73494,0.62348,0.70675,0.47032,0.73297,0.62636,0.71795,0.46043,1.06904,2.29201,1.34412,1.32307,0.00011884,0.00011884,0.00011884
73,6809.04,0.64633,1.28718,0.81222,1.02258,0.73233,0.61039,0.7193,0.46638,0.72887,0.61328,0.72643,0.46035,1.08972,2.36376,1.35858,1.33229,0.00011488,0.00011488,0.00011488
74,6901.66,0.65281,1.24097,0.8212,1.01053,0.6881,0.61441,0.70652,0.44666,0.61129,0.64712,0.70614,0.42434,1.07221,2.38488,1.37743,1.3232,0.00011092,0.00011092,0.00011092
75,6994.18,0.63155,1.20608,0.76443,0.99261,0.57587,0.64978,0.72144,0.46682,0.68171,0.61086,0.70602,0.43504,1.04313,2.4218,1.31327,1.3017,0.00010696,0.00010696,0.00010696
76,7087.53,0.64382,1.20085,0.78059,1.0196,0.71979,0.60033,0.71902,0.44751,0.70646,0.59165,0.70645,0.42555,1.04731,2.4258,1.30527,1.30279,0.000103,0.000103,0.000103
77,7181.96,0.63522,1.18783,0.76326,0.99899,0.73008,0.63624,0.71661,0.4793,0.72706,0.60846,0.70034,0.45026,1.03883,2.53925,1.28091,1.29459,9.904e-05,9.904e-05,9.904e-05
78,7275.17,0.65068,1.20783,0.76773,1.00358,0.55852,0.71654,0.71484,0.47613,0.53796,0.6972,0.7048,0.44406,1.02516,2.41644,1.23925,1.29287,9.508e-05,9.508e-05,9.508e-05
79,7368.65,0.62083,1.18912,0.74108,0.98949,0.5724,0.73032,0.72116,0.46188,0.54021,0.72503,0.7209,0.43491,1.02269,2.32875,1.2474,1.29497,9.112e-05,9.112e-05,9.112e-05
80,7462.93,0.6413,1.2111,0.77287,0.99397,0.6192,0.65739,0.72255,0.45849,0.56569,0.74093,0.71804,0.42233,1.04486,2.40933,1.29476,1.31538,8.716e-05,8.716e-05,8.716e-05
81,7556.38,0.6296,1.18028,0.74991,0.99093,0.62545,0.66317,0.73673,0.47148,0.58352,0.71365,0.71867,0.44794,1.06044,2.38538,1.29808,1.31915,8.32e-05,8.32e-05,8.32e-05
82,7650.12,0.6425,1.22571,0.78206,1.00765,0.74549,0.65628,0.75301,0.49079,0.58605,0.76003,0.74071,0.47208,1.05241,2.38181,1.24943,1.31098,7.924e-05,7.924e-05,7.924e-05
83,7743.58,0.64245,1.212,0.78145,1.00888,0.78934,0.66464,0.75966,0.48258,0.7627,0.64668,0.72912,0.45877,1.03865,2.4045,1.25164,1.30434,7.528e-05,7.528e-05,7.528e-05
84,7837.18,0.63278,1.22968,0.7759,1.00048,0.7527,0.6345,0.72001,0.4722,0.75207,0.64481,0.72646,0.45508,1.04219,2.38691,1.29955,1.31072,7.132e-05,7.132e-05,7.132e-05
85,7930.64,0.65058,1.24089,0.75083,0.99985,0.66622,0.71811,0.73977,0.48638,0.61762,0.71986,0.72809,0.45696,1.04333,2.42778,1.32582,1.3062,6.736e-05,6.736e-05,6.736e-05
86,8025.59,0.61808,1.19764,0.74436,0.99074,0.6676,0.70095,0.72272,0.47639,0.62081,0.68166,0.71673,0.45001,1.05747,2.43577,1.33451,1.3121,6.34e-05,6.34e-05,6.34e-05
87,8119.89,0.6046,1.15876,0.72924,0.97903,0.63808,0.70524,0.74279,0.49048,0.61187,0.69632,0.73574,0.45399,1.06187,2.35382,1.3451,1.31524,5.944e-05,5.944e-05,5.944e-05
88,8212.32,0.62401,1.21366,0.72743,0.99463,0.66309,0.68755,0.73847,0.48862,0.63673,0.67852,0.73848,0.45637,1.0444,2.30613,1.33213,1.31044,5.548e-05,5.548e-05,5.548e-05
89,8306.29,0.60812,1.16259,0.74897,0.97885,0.65909,0.68746,0.73357,0.49475,0.65373,0.68608,0.7277,0.46048,1.05794,2.42834,1.30666,1.31555,5.152e-05,5.152e-05,5.152e-05
90,8399.31,0.6169,1.14167,0.73258,0.98386,0.65652,0.69439,0.72244,0.48999,0.65221,0.6982,0.72807,0.44871,1.07851,2.4286,1.33969,1.32728,4.756e-05,4.756e-05,4.756e-05
91,8487.14,0.56846,0.9996,0.73976,1.00309,0.61539,0.69103,0.72445,0.46915,0.61184,0.69626,0.73115,0.43975,1.08298,2.3965,1.32896,1.31734,4.36e-05,4.36e-05,4.36e-05
92,8576.39,0.57517,1.06544,0.75016,1.00641,0.6076,0.70802,0.72724,0.47554,0.61214,0.72178,0.7333,0.4619,1.11371,2.37085,1.36931,1.33391,3.964e-05,3.964e-05,3.964e-05
93,8664.41,0.54513,0.97304,0.70641,0.97275,0.58694,0.72121,0.76224,0.4977,0.76792,0.60026,0.70399,0.46737,1.07865,2.49771,1.34381,1.32006,3.568e-05,3.568e-05,3.568e-05
94,8751.3,0.53785,1.01808,0.69031,0.97686,0.74175,0.63242,0.76368,0.5014,0.68778,0.57588,0.68994,0.47475,1.06274,2.60482,1.29429,1.32193,3.172e-05,3.172e-05,3.172e-05
95,8837.56,0.54279,0.97482,0.68739,0.9849,0.75949,0.61947,0.74983,0.50018,0.71929,0.57751,0.70176,0.46683,1.06606,2.54797,1.31035,1.32086,2.776e-05,2.776e-05,2.776e-05
96,8926.44,0.52529,0.97011,0.65801,0.97327,0.80463,0.63599,0.76997,0.47734,0.57925,0.6909,0.70959,0.43894,1.05359,2.49311,1.32229,1.3156,2.38e-05,2.38e-05,2.38e-05
97,9014.82,0.55065,1.02397,0.67304,0.9771,0.64336,0.71748,0.78414,0.48004,0.57998,0.70791,0.72815,0.45092,1.05476,2.53157,1.33814,1.31365,1.984e-05,1.984e-05,1.984e-05
98,9100.9,0.53002,0.97994,0.66356,0.9696,0.65085,0.71276,0.76778,0.48441,0.57267,0.69329,0.71517,0.46285,1.05853,2.59314,1.33799,1.31448,1.588e-05,1.588e-05,1.588e-05
99,9186.84,0.51271,0.95566,0.65558,0.96489,0.80262,0.63484,0.76512,0.48956,0.60038,0.66424,0.71556,0.4651,1.05509,2.57174,1.32593,1.30866,1.192e-05,1.192e-05,1.192e-05
100,9273.95,0.51965,0.94586,0.67069,0.95982,0.66089,0.70728,0.77013,0.48333,0.60851,0.67398,0.72559,0.45466,1.0588,2.50696,1.32362,1.31257,7.96e-06,7.96e-06,7.96e-06
