epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,50.7576,0.79972,0.8277,1.02741,0.98075,0.77529,0.35,0.45841,0.3258,0.77529,0.35,0.46258,0.32386,1.23429,1.78744,1.36835,1.31169,0.0005743,0.0005743,0.0005743
45,51.7806,0.77886,0.79461,1.103,1.0318,0.7909,0.36076,0.48866,0.33121,0.7909,0.36076,0.47278,0.33531,1.20762,1.8022,1.32474,1.27647,0.0005644,0.0005644,0.0005644
46,52.744,0.77464,0.85705,1.14782,1.0122,0.7909,0.36076,0.48866,0.33121,0.7909,0.36076,0.47278,0.33531,1.20762,1.8022,1.32474,1.27647,0.0005545,0.0005545,0.0005545
47,53.7406,0.79485,0.92188,1.08946,0.98675,0.79191,0.3625,0.49102,0.34297,0.79191,0.3625,0.46136,0.32009,1.11249,1.89682,1.33675,1.23941,0.0005446,0.0005446,0.0005446
48,54.7332,0.78505,0.83347,1.13538,1.01197,0.79191,0.3625,0.49102,0.34297,0.79191,0.3625,0.46136,0.32009,1.11249,1.89682,1.33675,1.23941,0.0005347,0.0005347,0.0005347
49,55.7334,0.69166,0.77029,1.06872,0.99059,0.53465,0.375,0.48446,0.34545,0.8388,0.4625,0.54889,0.31893,1.11771,2.13964,1.26487,1.23114,0.0005248,0.0005248,0.0005248
50,56.7255,0.71577,0.76649,1.13269,0.98793,0.53465,0.375,0.48446,0.34545,0.8388,0.4625,0.54889,0.31893,1.11771,2.13964,1.26487,1.23114,0.0005149,0.0005149,0.0005149
51,57.848,0.74138,0.73951,1.08984,0.9778,0.54077,0.46165,0.46972,0.34511,0.92818,0.40779,0.56093,0.33469,1.14686,2.28759,1.24237,1.26177,0.000505,0.000505,0.000505
52,58.9202,0.71865,0.76429,1.05013,0.96731,0.54077,0.46165,0.46972,0.34511,0.92818,0.40779,0.56093,0.33469,1.14686,2.28759,1.24237,1.26177,0.0004951,0.0004951,0.0004951
53,59.9929,0.76187,0.68007,0.99071,0.99401,0.77922,0.3625,0.46963,0.34792,0.84474,0.475,0.49063,0.3422,1.13076,2.26535,1.26289,1.28968,0.0004852,0.0004852,0.0004852
